text,sentiment
The room was cramped, dark, and uncomfortable.,negative
The company took days to respond and never fixed my issue.,negative
The product quality is poor for the price.,negative
The website is cluttered and the checkout process is frustrating.,negative
The teacher explained the material poorly and left important questions unanswered.,negative
The food tasted stale and the portions were disappointing.,negative
I disliked the story and found the ending unsatisfying.,negative
The headphones sound terrible and become uncomfortable quickly.,negative
The app is slow and makes simple tasks unnecessarily difficult.,negative
The package arrived damaged and the item was not as described.,negative
The support representative was rude and failed to solve my issue.,negative
This is one of the worst purchases I have made.,negative
The presentation was confusing, repetitive, and poorly organized.,negative
The hotel staff were unhelpful and made our stay unpleasant.,negative
The new interface is cluttered and harder to understand.,negative
The movie had weak characters and an uninteresting storyline.,negative
The service was slow, inaccurate, and unfriendly.,negative
The device is bulky, unreliable, and difficult to use.,negative
I would not recommend this product to anyone.,negative
The experience was frustrating from beginning to end.,negative
The book provided little value and was difficult to finish.,negative
The restaurant served disappointing food and ignored our requests.,negative
The website loads slowly and frequently stops responding.,negative
The repair was incomplete and the technician made the problem worse.,negative
The course materials were confusing and poorly organized.,negative
The product feels cheap and does not perform as promised.,negative
The staff were inattentive and made us wait too long.,negative
I am disappointed with the quality and overall value.,negative
The team delivered a poor result and communicated badly throughout the project.,negative
The product weighs 850 grams and has a black exterior.,neutral
The customer support team is available from 9 a.m. to 5 p.m.,neutral
The movie was released in 2020 and has a running time of 118 minutes.,neutral
The meal included rice, vegetables, and a glass of water.,neutral
The order number is 48217 and it was placed on Tuesday.,neutral
The application version is 4.2.1 and requires Android 10 or later.,neutral
The hotel has 120 rooms and is located near the city center.,neutral
The request was submitted through the online support form.,neutral
The book contains 14 chapters and was published in 2019.,neutral
The laptop has 16GB of RAM and a 512GB SSD.,neutral
The service operates seven days a week from 8 a.m. to 10 p.m.,neutral
The interface contains a search bar and three navigation tabs.,neutral
The concert started at 8 p.m. and lasted approximately two hours.,neutral
The delivery was scheduled for Thursday afternoon.,neutral
The course consists of eight modules and includes weekly assignments.,neutral
The camera has a 24-megapixel sensor and supports 4K video.,neutral
The restaurant is located on the second floor of the building.,neutral
The account was created in March and has two registered devices.,neutral
The document contains five pages and uses a standard font.,neutral
The software supports Windows 10 and Windows 11.,neutral
The performance began at 7:30 p.m. in the main auditorium.,neutral
The room has two beds, a desk, and a private bathroom.,neutral
The company received the request on Monday morning.,neutral
The package contains a charger, a cable, and an instruction manual.,neutral
The website has sections for products, orders, and account settings.,neutral
The class meets every Monday and Wednesday at 10 a.m.,neutral
The menu includes several vegetarian and non-vegetarian options.,neutral
The story takes place in a city during the summer.,neutral
The headphones use Bluetooth 5.2 and have a USB-C charging port.,neutral
The app displays the user's name, email address, and account status.,neutral
The package was shipped from Lahore on Friday.,neutral
The support ticket is listed under reference number 7314.,neutral
The presentation contains 18 slides and three diagrams.,neutral
The hotel check-in time is 2 p.m. and check-out is at noon.,neutral
The movie features six principal actors and was filmed in three locations.,neutral
The service has a monthly subscription and an annual subscription.,neutral
The device measures 14 centimeters in length.,neutral
The report covers sales data from January through June.,neutral
The website was updated on August 3.,neutral
The laptop screen measures 15.6 inches diagonally.,neutral
The meeting is scheduled for 11 a.m. in conference room B.,neutral
The order contains two shirts and one pair of shoes.,neutral
The book was translated into four languages.,neutral
The application stores settings locally on the device.,neutral
The restaurant accepts reservations for groups of up to eight people.,neutral
The camera battery has a capacity of 1800 mAh.,neutral
The course certificate is issued after all modules are completed.,neutral
The hotel provides Wi-Fi and parking for registered guests.,neutral
The product is available in three sizes.,neutral
The project was completed by a team of six people over a period of three weeks.,neutral
